dwlr_id,STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYP,WATER LEVEL,BATTERY LEVE,TIMESTAMP,Anomaly
dwlr_ga_001,Goa,North Goa,Bardez,Alto Betim,Porvorim,15.524952,73.828539,Dug Well,11.9,61,05-12-2024 19:3,FALSE
dwlr_ga_002,Goa,North Goa,Bardez,Anjuna Beach,Anjuna Beach,15.584236,73.738227,Dug Well,11.77,79,05-12-2024 19:3,FALSE
dwlr_ga_003,Goa,North Goa,Bardez,Britona,Britona,15.512632,73.842861,Dug Well,2.5,99,05-12-2024 19:3,FALSE
dwlr_ga_004,Goa,North Goa,Bardez,Calangute,Calangute,15.546138,73.758685,Dug Well,7.7,43,05-12-2024 19:3,FALSE
dwlr_ga_005,Goa,North Goa,Bardez,Colval,Colval,15.643894,73.837117,Dug Well,13.05,28,05-12-2024 19:3,TRUE
dwlr_ga_006,Goa,North Goa,Bardez,Mapuca,Mapuca,15.610277,73.824467,Dug Well,3.6,71,05-12-2024 19:3,FALSE
dwlr_ga_007,Goa,North Goa,Bardez,Parra,Parra,15.572928,73.792718,Dug Well,2.44,47,05-12-2024 19:3,FALSE
dwlr_ga_008,Goa,North Goa,Bardez,Pirna,Pirna,15.668757,73.881897,Dug Well,3.6,57,05-12-2024 19:3,FALSE
dwlr_ga_009,Goa,North Goa,Bardez,Pomburpa Palm,Pomburpa Palm,15.559253,73.867591,Dug Well,3.82,58,05-12-2024 19:3,FALSE
dwlr_ga_010,Goa,North Goa,Bardez,Salwardhar Dum,Salwardhar Dum,15.53767,73.868709,Dug Well,3.78,65,05-12-2024 19:3,FALSE
dwlr_ga_011,Goa,North Goa,Bardez,Shivoli (Brahma,Shivoli (Brahma,15.623557,73.767247,Dug Well,2.23,37,05-12-2024 19:3,TRUE
dwlr_ga_012,Goa,North Goa,Bardez,Sirsaim,Sirsaim,15.626789,73.875861,Dug Well,3.48,24,05-12-2024 19:3,FALSE
dwlr_ga_013,Goa,North Goa,Bicholim,Adavapal,Adavapal,15.639972,73.895926,Dug Well,5.6,41,05-12-2024 19:3,FALSE
dwlr_ga_014,Goa,North Goa,Bicholim,Devulawada Nar,Devulawada Nar,15.552048,73.924128,Dug Well,15.61,90,05-12-2024 19:3,TRUE
dwlr_ga_015,Goa,North Goa,Bicholim,Dhatwado Vante,Dhatwado Vante,15.496036,74.097329,Dug Well,6.53,62,05-12-2024 19:3,FALSE
dwlr_ga_016,Goa,North Goa,Bicholim,Jambhul Batt(M,Jambhul Batt(Ma,15.580413,73.926039,Dug Well,2.5,83,05-12-2024 19:3,FALSE
dwlr_ga_017,Goa,North Goa,Bicholim,Mulgaon Shivalk,Mulgaon Shivalk,15.617182,73.920692,Dug Well,3.6,86,05-12-2024 19:3,FALSE
dwlr_ga_018,Goa,North Goa,Bicholim,Olaulim,Olaulim,15.569607,73.863442,Dug Well,7.1,97,05-12-2024 19:3,FALSE
dwlr_ga_019,Goa,North Goa,Bicholim,Sal,Sal,15.687915,73.92692,Dug Well,3.78,71,05-12-2024 19:3,FALSE
dwlr_ga_020,Goa,North Goa,Pernem,Amberem,Amberem,15.561635,74.163265,Dug Well,7.96,53,05-12-2024 19:3,FALSE
dwlr_ga_021,Goa,North Goa,Pernem,Hasaravanni Vai,Hasaravanni Vai,15.732513,73.899588,Dug Well,2.5,26,05-12-2024 19:3,FALSE
dwlr_ga_022,Goa,North Goa,Pernem,Haspur,Haspur,15.739249,73.903267,Dug Well,5.22,64,05-12-2024 19:3,FALSE
dwlr_ga_023,Goa,North Goa,Pernem,Korgaon,Korgaon,15.709224,73.751911,Dug Well,5.32,66,05-12-2024 19:3,FALSE
